order_id,order_date,region,product,category,units,unit_price,revenue,customer
SO-10034,2025-01-10,North,Conference Speaker,Audio and Video,2,18000,36000,Falcon Freight
SO-10035,2025-01-10,South,Laptop Stand,Accessories,25,1800,45000,Kite Media
SO-10036,2025-01-11,West,27-inch Monitor,Displays,5,24000,120000,Orchid Interiors
SO-10037,2025-01-12,North,Wireless Mouse,Accessories,9,1200,10800,Evergreen Foods
SO-10038,2025-01-12,East,Laptop Stand,Accessories,16,1800,28800,Harbour Hotels
SO-10039,2025-01-12,West,Laptop Stand,Accessories,7,1800,12600,Orchid Interiors
SO-10040,2025-01-13,East,USB-C Hub,Accessories,16,3500,56000,Riverstone Realty
SO-10041,2025-01-14,South,Wireless Mouse,Accessories,11,1200,13200,Tamarind Tech
SO-10042,2025-01-15,North,Laptop Stand,Accessories,16,1800,28800,Lotus Infra
SO-10043,2025-01-15,East,Office Chair,Furniture,11,12500,137500,Evergreen Foods
SO-10044,2025-01-15,North,Laptop Stand,Accessories,10,1800,18000,Ganga Textiles
SO-10045,2025-01-15,East,Standing Desk,Furniture,15,32000,480000,Deccan Motors
SO-10046,2025-01-15,North,24-inch Monitor,Displays,7,14500,101500,Cedar Finserv
SO-10047,2025-01-16,North,24-inch Monitor,Displays,21,14500,304500,Lotus Infra
SO-10048,2025-01-16,North,Office Chair,Furniture,4,12500,50000,Jasmine Pharma
SO-10049,2025-01-16,South,Webcam,Audio and Video,2,4200,8400,Totally Fine Corp
SO-10050,2025-01-16,South,USB-C Hub,Accessories,4,3500,14000,Bluepeak Analytics
SO-10051,2025-01-17,West,Laptop Stand,Accessories,7,1800,12600,Vista Telecom
SO-10052,2025-01-17,North,27-inch Monitor,Displays,19,24000,456000,Tamarind Tech
SO-10053,2025-01-17,East,27-inch Monitor,Displays,15,24000,360000,Lotus Infra
SO-10054,2025-01-18,South,27-inch Monitor,Displays,24,24000,576000,Totally Fine Corp
SO-10055,2025-01-18,West,Conference Speaker,Audio and Video,24,18000,432000,Jasmine Pharma
SO-10056,2025-01-19,East,Laptop Stand,Accessories,24,1800,43200,Anvil Logistics
SO-10057,2025-01-19,North,Conference Speaker,Audio and Video,19,18000,342000,Totally Fine Corp
SO-10058,2025-01-20,East,24-inch Monitor,Displays,19,14500,275500,Tamarind Tech
SO-10059,2025-01-20,West,Webcam,Audio and Video,16,4200,67200,Monsoon Travel
SO-10060,2025-01-22,South,24-inch Monitor,Displays,1,14500,14500,Saffron Kitchens
SO-10061,2025-01-23,North,Conference Speaker,Audio and Video,11,18000,198000,Ganga Textiles
SO-10062,2025-01-23,East,27-inch Monitor,Displays,22,24000,528000,Deccan Motors
SO-10063,2025-01-24,North,Office Chair,Furniture,8,12500,100000,Anvil Logistics
SO-10064,2025-01-24,South,Office Chair,Furniture,1,12500,12500,Coral Retail
SO-10065,2025-01-24,North,Headset,Audio and Video,6,6500,39000,Tamarind Tech
SO-10066,2025-01-25,South,24-inch Monitor,Displays,6,14500,87000,Tamarind Tech
SO-10067,2025-01-26,East,Conference Speaker,Audio and Video,20,18000,360000,Totally Fine Corp
SO-10068,2025-01-26,West,27-inch Monitor,Displays,13,24000,312000,Totally Fine Corp
SO-10069,2025-01-26,North,Laptop Stand,Accessories,14,1800,25200,Ganga Textiles
SO-10070,2025-01-27,East,27-inch Monitor,Displays,16,24000,384000,Kite Media
SO-10071,2025-01-27,North,Webcam,Audio and Video,6,4200,25200,Kite Media
SO-10072,2025-01-27,West,Standing Desk,Furniture,8,32000,256000,Cedar Finserv
SO-10073,2025-01-28,North,27-inch Monitor,Displays,15,24000,360000,Bluepeak Analytics
SO-10074,2025-02-01,South,27-inch Monitor,Displays,10,24000,240000,Umber Paints
SO-10075,2025-02-01,West,Conference Speaker,Audio and Video,21,18000,378000,Jasmine Pharma
SO-10076,2025-02-01,North,24-inch Monitor,Displays,13,14500,188500,Monsoon Travel
SO-10077,2025-02-02,East,24-inch Monitor,Displays,9,14500,130500,Banyan Health
SO-10078,2025-02-03,West,27-inch Monitor,Displays,22,24000,528000,Lotus Infra
SO-10079,2025-02-03,North,Conference Speaker,Audio and Video,15,18000,270000,Vista Telecom
SO-10080,2025-02-03,West,Office Chair,Furniture,14,12500,175000,Indigo Learning
SO-10081,2025-02-03,South,Standing Desk,Furniture,10,32000,320000,Jasmine Pharma
SO-10082,2025-02-04,North,Standing Desk,Furniture,4,32000,128000,Nimbus Cloud
SO-10083,2025-02-05,South,Laptop Stand,Accessories,25,1800,45000,Evergreen Foods
SO-10084,2025-02-06,West,Standing Desk,Furniture,15,32000,480000,Riverstone Realty
SO-10085,2025-02-06,East,Standing Desk,Furniture,11,32000,352000,Jasmine Pharma
SO-10086,2025-02-08,South,USB-C Hub,Accessories,1,3500,3500,Jasmine Pharma
SO-10087,2025-02-08,West,Standing Desk,Furniture,16,32000,512000,Monsoon Travel
SO-10088,2025-02-09,West,Headset,Audio and Video,4,6500,26000,Indigo Learning
SO-10089,2025-02-09,West,Webcam,Audio and Video,19,4200,79800,Umber Paints
SO-10090,2025-02-09,West,Conference Speaker,Audio and Video,23,18000,414000,Quartz Mining
SO-10091,2025-02-09,East,Standing Desk,Furniture,16,32000,512000,Orchid Interiors
SO-10092,2025-02-10,North,Webcam,Audio and Video,21,4200,88200,Indigo Learning
SO-10093,2025-02-10,South,Wireless Mouse,Accessories,4,1200,4800,Falcon Freight
SO-10094,2025-02-11,West,27-inch Monitor,Displays,3,24000,72000,Vista Telecom
SO-10095,2025-02-12,South,Conference Speaker,Audio and Video,24,18000,432000,Banyan Health
SO-10096,2025-02-12,South,Headset,Audio and Video,16,6500,104000,Riverstone Realty
SO-10097,2025-02-13,East,Headset,Audio and Video,10,6500,65000,Saffron Kitchens
SO-10098,2025-02-14,East,24-inch Monitor,Displays,22,14500,319000,Riverstone Realty
SO-10099,2025-02-15,North,Laptop Stand,Accessories,25,1800,45000,Kite Media
SO-10100,2025-02-15,North,27-inch Monitor,Displays,17,24000,408000,Saffron Kitchens
SO-10101,2025-02-15,West,Headset,Audio and Video,1,6500,6500,Vista Telecom
SO-10102,2025-02-16,East,USB-C Hub,Accessories,23,3500,80500,Indigo Learning
SO-10103,2025-02-16,South,Standing Desk,Furniture,6,32000,192000,Banyan Health
SO-10104,2025-02-16,West,Standing Desk,Furniture,10,32000,320000,Bluepeak Analytics
SO-10105,2025-02-16,South,Wireless Mouse,Accessories,3,1200,3600,Kite Media
SO-10106,2025-02-17,West,Headset,Audio and Video,14,6500,91000,Orchid Interiors
SO-10107,2025-02-17,East,Wireless Mouse,Accessories,6,1200,7200,Coral Retail
SO-10108,2025-02-17,North,27-inch Monitor,Displays,3,24000,72000,Vista Telecom
SO-10109,2025-02-17,West,24-inch Monitor,Displays,12,14500,174000,Deccan Motors
SO-10110,2025-02-17,North,Wireless Mouse,Accessories,7,1200,8400,Cedar Finserv
SO-10111,2025-02-18,North,24-inch Monitor,Displays,8,14500,116000,Tamarind Tech
SO-10112,2025-02-18,East,27-inch Monitor,Displays,25,24000,600000,Nimbus Cloud
SO-10113,2025-02-19,South,USB-C Hub,Accessories,6,3500,21000,Kite Media
SO-10114,2025-02-19,South,Webcam,Audio and Video,3,4200,12600,Orchid Interiors
SO-10115,2025-02-19,South,USB-C Hub,Accessories,12,3500,42000,Banyan Health
SO-10116,2025-02-19,West,Wireless Mouse,Accessories,15,1200,18000,Banyan Health
SO-10117,2025-02-20,South,Office Chair,Furniture,13,12500,162500,Monsoon Travel
SO-10118,2025-02-20,East,Headset,Audio and Video,2,6500,13000,Peacock Apparel
SO-10119,2025-02-22,North,USB-C Hub,Accessories,13,3500,45500,Anvil Logistics
SO-10120,2025-02-22,East,Standing Desk,Furniture,5,32000,160000,Totally Fine Corp
SO-10121,2025-02-23,East,Conference Speaker,Audio and Video,3,18000,54000,Harbour Hotels
SO-10122,2025-02-23,North,Headset,Audio and Video,8,6500,52000,Vista Telecom
SO-10123,2025-02-25,East,24-inch Monitor,Displays,23,14500,333500,Quartz Mining
SO-10124,2025-02-25,East,24-inch Monitor,Displays,2,14500,29000,Quartz Mining
SO-10125,2025-02-26,South,Conference Speaker,Audio and Video,4,18000,72000,Tamarind Tech
SO-10126,2025-02-26,North,Laptop Stand,Accessories,22,1800,39600,Tamarind Tech
SO-10127,2025-02-27,South,Standing Desk,Furniture,6,32000,192000,Totally Fine Corp
SO-10128,2025-02-27,North,Conference Speaker,Audio and Video,9,18000,162000,Saffron Kitchens
SO-10129,2025-02-28,West,Headset,Audio and Video,16,6500,104000,Totally Fine Corp
SO-10130,2025-03-01,East,Wireless Mouse,Accessories,23,1200,27600,Kite Media
SO-10131,2025-03-02,South,27-inch Monitor,Displays,21,24000,504000,Jasmine Pharma
SO-10132,2025-03-02,South,Conference Speaker,Audio and Video,19,18000,342000,Falcon Freight
SO-10133,2025-03-03,South,Headset,Audio and Video,11,6500,71500,Jasmine Pharma
SO-10134,2025-03-03,South,Office Chair,Furniture,18,12500,225000,Kite Media
SO-10135,2025-03-03,East,USB-C Hub,Accessories,7,3500,24500,Saffron Kitchens
SO-10136,2025-03-04,South,Conference Speaker,Audio and Video,5,18000,90000,Bluepeak Analytics
SO-10137,2025-03-04,West,24-inch Monitor,Displays,15,14500,217500,Deccan Motors
SO-10138,2025-03-05,South,Webcam,Audio and Video,15,4200,63000,Ganga Textiles
SO-10139,2025-03-06,East,Webcam,Audio and Video,21,4200,88200,Coral Retail
SO-10140,2025-03-06,North,Standing Desk,Furniture,1,32000,32000,Lotus Infra
SO-10141,2025-03-07,South,Webcam,Audio and Video,4,4200,16800,Nimbus Cloud
SO-10142,2025-03-07,West,24-inch Monitor,Displays,1,14500,14500,Ganga Textiles
SO-10143,2025-03-09,South,24-inch Monitor,Displays,10,14500,145000,Harbour Hotels
SO-10144,2025-03-09,West,Webcam,Audio and Video,11,4200,46200,Harbour Hotels
SO-10145,2025-03-09,West,Standing Desk,Furniture,23,32000,736000,Totally Fine Corp
SO-10146,2025-03-09,West,Conference Speaker,Audio and Video,21,18000,378000,Ganga Textiles
SO-10147,2025-03-10,South,Office Chair,Furniture,10,12500,125000,Umber Paints
SO-10148,2025-03-10,West,Webcam,Audio and Video,16,4200,67200,Cedar Finserv
SO-10149,2025-03-11,South,Office Chair,Furniture,3,12500,37500,Orchid Interiors
SO-10150,2025-03-11,South,Standing Desk,Furniture,4,32000,128000,Kite Media
SO-10151,2025-03-11,North,Wireless Mouse,Accessories,13,1200,15600,Kite Media
SO-10152,2025-03-12,South,USB-C Hub,Accessories,19,3500,66500,Deccan Motors
SO-10153,2025-03-13,West,Wireless Mouse,Accessories,12,1200,14400,Ganga Textiles
SO-10154,2025-03-13,South,Conference Speaker,Audio and Video,14,18000,252000,Jasmine Pharma
SO-10155,2025-03-13,East,Headset,Audio and Video,6,6500,39000,Bluepeak Analytics
SO-10156,2025-03-13,West,Webcam,Audio and Video,18,4200,75600,Deccan Motors
SO-10157,2025-03-13,North,Laptop Stand,Accessories,20,1800,36000,Anvil Logistics
SO-10158,2025-03-14,East,Conference Speaker,Audio and Video,4,18000,72000,Indigo Learning
SO-10159,2025-03-14,South,Laptop Stand,Accessories,6,1800,10800,Umber Paints
SO-10160,2025-03-15,West,Wireless Mouse,Accessories,25,1200,30000,Riverstone Realty
SO-10161,2025-03-15,East,USB-C Hub,Accessories,11,3500,38500,Saffron Kitchens
SO-10162,2025-03-15,East,USB-C Hub,Accessories,25,3500,87500,Tamarind Tech
SO-10163,2025-03-16,East,24-inch Monitor,Displays,9,14500,130500,Vista Telecom
SO-10164,2025-03-18,South,Headset,Audio and Video,5,6500,32500,Ganga Textiles
SO-10165,2025-03-18,South,USB-C Hub,Accessories,15,3500,52500,Kite Media
SO-10166,2025-03-18,East,Wireless Mouse,Accessories,18,1200,21600,Coral Retail
SO-10167,2025-03-18,West,Webcam,Audio and Video,10,4200,42000,Ganga Textiles
SO-10168,2025-03-19,South,27-inch Monitor,Displays,6,24000,144000,Vista Telecom
SO-10169,2025-03-19,South,Webcam,Audio and Video,23,4200,96600,Saffron Kitchens
SO-10170,2025-03-20,East,Headset,Audio and Video,22,6500,143000,Umber Paints
SO-10171,2025-03-20,West,USB-C Hub,Accessories,11,3500,38500,Vista Telecom
SO-10172,2025-03-21,South,USB-C Hub,Accessories,10,3500,35000,Saffron Kitchens
SO-10173,2025-03-21,South,27-inch Monitor,Displays,15,24000,360000,Monsoon Travel
SO-10174,2025-03-22,North,Wireless Mouse,Accessories,14,1200,16800,Umber Paints
SO-10175,2025-03-22,North,Webcam,Audio and Video,9,4200,37800,Deccan Motors
SO-10176,2025-03-25,North,USB-C Hub,Accessories,24,3500,84000,Tamarind Tech
SO-10177,2025-03-25,South,Standing Desk,Furniture,20,32000,640000,Quartz Mining
SO-10178,2025-03-25,South,Office Chair,Furniture,16,12500,200000,Peacock Apparel
SO-10179,2025-03-25,East,Standing Desk,Furniture,24,32000,768000,Deccan Motors
SO-10180,2025-03-25,West,Standing Desk,Furniture,23,32000,736000,Orchid Interiors
SO-10181,2025-03-26,South,USB-C Hub,Accessories,18,3500,63000,Cedar Finserv
SO-10182,2025-03-26,West,USB-C Hub,Accessories,11,3500,38500,Bluepeak Analytics
SO-10183,2025-03-26,South,USB-C Hub,Accessories,11,3500,38500,Saffron Kitchens
SO-10184,2025-03-28,East,Laptop Stand,Accessories,17,1800,30600,Deccan Motors
SO-10185,2025-04-01,East,Headset,Audio and Video,18,6500,117000,Jasmine Pharma
SO-10186,2025-04-01,North,Webcam,Audio and Video,25,4200,105000,Ganga Textiles
SO-10187,2025-04-01,North,Webcam,Audio and Video,17,4200,71400,Vista Telecom
SO-10188,2025-04-01,North,USB-C Hub,Accessories,7,3500,24500,Peacock Apparel
SO-10189,2025-04-02,North,24-inch Monitor,Displays,21,14500,304500,Banyan Health
SO-10190,2025-04-02,South,Headset,Audio and Video,25,6500,162500,Falcon Freight
SO-10191,2025-04-02,North,Standing Desk,Furniture,20,32000,640000,Totally Fine Corp
SO-10192,2025-04-03,South,Wireless Mouse,Accessories,11,1200,13200,Saffron Kitchens
SO-10193,2025-04-03,North,Headset,Audio and Video,12,6500,78000,Jasmine Pharma
SO-10194,2025-04-03,North,Headset,Audio and Video,13,6500,84500,Bluepeak Analytics
SO-10195,2025-04-05,West,Office Chair,Furniture,24,12500,300000,Nimbus Cloud
SO-10196,2025-04-05,South,Wireless Mouse,Accessories,17,1200,20400,Jasmine Pharma
SO-10197,2025-04-06,South,Standing Desk,Furniture,22,32000,704000,Lotus Infra
SO-10198,2025-04-06,West,Standing Desk,Furniture,1,32000,32000,Vista Telecom
SO-10199,2025-04-07,South,24-inch Monitor,Displays,6,14500,87000,Banyan Health
SO-10200,2025-04-07,West,27-inch Monitor,Displays,1,24000,24000,Ganga Textiles
SO-10201,2025-04-08,North,Standing Desk,Furniture,3,32000,96000,Indigo Learning
SO-10202,2025-04-09,East,Webcam,Audio and Video,15,4200,63000,Umber Paints
SO-10203,2025-04-09,North,Conference Speaker,Audio and Video,2,18000,36000,Saffron Kitchens
SO-10204,2025-04-09,North,Wireless Mouse,Accessories,2,1200,2400,Ganga Textiles
SO-10205,2025-04-10,East,27-inch Monitor,Displays,21,24000,504000,Coral Retail
SO-10206,2025-04-10,West,Laptop Stand,Accessories,12,1800,21600,Coral Retail
SO-10207,2025-04-10,North,Laptop Stand,Accessories,7,1800,12600,Bluepeak Analytics
SO-10208,2025-04-10,South,24-inch Monitor,Displays,20,14500,290000,Tamarind Tech
SO-10209,2025-04-10,North,Laptop Stand,Accessories,5,1800,9000,Jasmine Pharma
SO-10210,2025-04-11,East,27-inch Monitor,Displays,4,24000,96000,Saffron Kitchens
SO-10211,2025-04-11,West,Standing Desk,Furniture,22,32000,704000,Totally Fine Corp
SO-10212,2025-04-11,West,Conference Speaker,Audio and Video,1,18000,18000,Cedar Finserv
SO-10213,2025-04-12,West,USB-C Hub,Accessories,7,3500,24500,Tamarind Tech
SO-10214,2025-04-12,West,Wireless Mouse,Accessories,12,1200,14400,Monsoon Travel
SO-10215,2025-04-12,South,Standing Desk,Furniture,22,32000,704000,Lotus Infra
SO-10216,2025-04-12,North,Headset,Audio and Video,25,6500,162500,Coral Retail
SO-10217,2025-04-12,North,Laptop Stand,Accessories,8,1800,14400,Indigo Learning
SO-10218,2025-04-13,East,Headset,Audio and Video,2,6500,13000,Lotus Infra
SO-10219,2025-04-13,South,Conference Speaker,Audio and Video,4,18000,72000,Quartz Mining
SO-10220,2025-04-14,South,Wireless Mouse,Accessories,25,1200,30000,Falcon Freight
SO-10221,2025-04-15,West,Conference Speaker,Audio and Video,12,18000,216000,Ganga Textiles
SO-10222,2025-04-15,West,Laptop Stand,Accessories,11,1800,19800,Vista Telecom
SO-10223,2025-04-16,West,Laptop Stand,Accessories,25,1800,45000,Monsoon Travel
SO-10224,2025-04-17,North,Standing Desk,Furniture,15,32000,480000,Tamarind Tech
SO-10225,2025-04-17,South,Standing Desk,Furniture,3,32000,96000,Lotus Infra
SO-10226,2025-04-18,West,Office Chair,Furniture,8,12500,100000,Bluepeak Analytics
SO-10227,2025-04-18,East,Laptop Stand,Accessories,22,1800,39600,Totally Fine Corp
SO-10228,2025-04-18,South,Conference Speaker,Audio and Video,6,18000,108000,Cedar Finserv
SO-10229,2025-04-18,North,Wireless Mouse,Accessories,13,1200,15600,Lotus Infra
SO-10230,2025-04-19,East,USB-C Hub,Accessories,14,3500,49000,Kite Media
SO-10231,2025-04-19,South,Standing Desk,Furniture,14,32000,448000,Peacock Apparel
SO-10232,2025-04-19,East,Wireless Mouse,Accessories,15,1200,18000,Vista Telecom
SO-10233,2025-04-20,North,Webcam,Audio and Video,25,4200,105000,Riverstone Realty
SO-10234,2025-04-20,East,Office Chair,Furniture,15,12500,187500,Coral Retail
SO-10235,2025-04-20,North,Conference Speaker,Audio and Video,8,18000,144000,Totally Fine Corp
SO-10236,2025-04-20,South,Headset,Audio and Video,1,6500,6500,Ganga Textiles
SO-10237,2025-04-21,East,Wireless Mouse,Accessories,16,1200,19200,Lotus Infra
SO-10238,2025-04-21,North,Standing Desk,Furniture,16,32000,512000,Quartz Mining
SO-10239,2025-04-21,West,Headset,Audio and Video,21,6500,136500,Jasmine Pharma
SO-10240,2025-04-22,South,Wireless Mouse,Accessories,10,1200,12000,Totally Fine Corp
SO-10241,2025-04-22,West,Wireless Mouse,Accessories,20,1200,24000,Anvil Logistics
SO-10242,2025-04-23,East,Headset,Audio and Video,22,6500,143000,Anvil Logistics
SO-10243,2025-04-23,South,USB-C Hub,Accessories,23,3500,80500,Anvil Logistics
SO-10244,2025-04-23,West,Headset,Audio and Video,1,6500,6500,Coral Retail
SO-10245,2025-04-24,West,USB-C Hub,Accessories,2,3500,7000,Evergreen Foods
SO-10246,2025-04-24,West,Standing Desk,Furniture,12,32000,384000,Totally Fine Corp
SO-10247,2025-04-25,West,27-inch Monitor,Displays,19,24000,456000,Peacock Apparel
SO-10248,2025-04-25,North,Headset,Audio and Video,24,6500,156000,Quartz Mining
SO-10249,2025-04-25,West,Wireless Mouse,Accessories,18,1200,21600,Kite Media
SO-10250,2025-04-25,East,Office Chair,Furniture,18,12500,225000,Evergreen Foods
SO-10251,2025-04-25,North,24-inch Monitor,Displays,10,14500,145000,Orchid Interiors
SO-10252,2025-04-25,North,Laptop Stand,Accessories,14,1800,25200,Orchid Interiors
SO-10253,2025-04-26,South,Headset,Audio and Video,12,6500,78000,Cedar Finserv
SO-10254,2025-04-26,East,Wireless Mouse,Accessories,7,1200,8400,Cedar Finserv
SO-10255,2025-04-27,East,Laptop Stand,Accessories,24,1800,43200,Quartz Mining
SO-10256,2025-04-27,South,24-inch Monitor,Displays,2,14500,29000,Kite Media
SO-10257,2025-04-27,North,Webcam,Audio and Video,16,4200,67200,Ganga Textiles
SO-10258,2025-04-27,East,Webcam,Audio and Video,16,4200,67200,Indigo Learning
SO-10259,2025-04-27,North,Headset,Audio and Video,7,6500,45500,Falcon Freight
SO-10260,2025-04-28,South,Office Chair,Furniture,6,12500,75000,Lotus Infra
SO-10261,2025-04-28,North,Office Chair,Furniture,12,12500,150000,Bluepeak Analytics
SO-10262,2025-05-01,North,Laptop Stand,Accessories,13,1800,23400,Ganga Textiles
SO-10263,2025-05-01,South,Headset,Audio and Video,14,6500,91000,Coral Retail
SO-10264,2025-05-01,North,Laptop Stand,Accessories,14,1800,25200,Indigo Learning
SO-10265,2025-05-02,South,Headset,Audio and Video,4,6500,26000,Indigo Learning
SO-10266,2025-05-02,North,24-inch Monitor,Displays,11,14500,159500,Cedar Finserv
SO-10267,2025-05-03,North,Headset,Audio and Video,7,6500,45500,Harbour Hotels
SO-10268,2025-05-03,South,USB-C Hub,Accessories,20,3500,70000,Orchid Interiors
SO-10269,2025-05-03,East,27-inch Monitor,Displays,10,24000,240000,Indigo Learning
SO-10270,2025-05-04,South,USB-C Hub,Accessories,24,3500,84000,Banyan Health
SO-10271,2025-05-04,South,27-inch Monitor,Displays,11,24000,264000,Riverstone Realty
SO-10272,2025-05-04,West,Laptop Stand,Accessories,22,1800,39600,Quartz Mining
SO-10273,2025-05-04,West,Standing Desk,Furniture,18,32000,576000,Vista Telecom
SO-10274,2025-05-04,South,24-inch Monitor,Displays,14,14500,203000,Coral Retail
SO-10275,2025-05-05,South,Standing Desk,Furniture,7,32000,224000,Harbour Hotels
SO-10276,2025-05-05,East,Laptop Stand,Accessories,8,1800,14400,Tamarind Tech
SO-10277,2025-05-05,South,Wireless Mouse,Accessories,17,1200,20400,Evergreen Foods
SO-10278,2025-05-06,North,Wireless Mouse,Accessories,22,1200,26400,Jasmine Pharma
SO-10279,2025-05-06,East,27-inch Monitor,Displays,10,24000,240000,Vista Telecom
SO-10280,2025-05-07,North,Standing Desk,Furniture,23,32000,736000,Cedar Finserv
SO-10281,2025-05-07,East,USB-C Hub,Accessories,14,3500,49000,Kite Media
SO-10282,2025-05-08,North,27-inch Monitor,Displays,20,24000,480000,Tamarind Tech
SO-10283,2025-05-08,East,Laptop Stand,Accessories,13,1800,23400,Indigo Learning
SO-10284,2025-05-08,East,Conference Speaker,Audio and Video,3,18000,54000,Deccan Motors
SO-10285,2025-05-09,West,Office Chair,Furniture,11,12500,137500,Anvil Logistics
SO-10286,2025-05-10,West,Standing Desk,Furniture,3,32000,96000,Kite Media
SO-10287,2025-05-10,South,USB-C Hub,Accessories,25,3500,87500,Saffron Kitchens
SO-10288,2025-05-10,South,Wireless Mouse,Accessories,21,1200,25200,Monsoon Travel
SO-10289,2025-05-11,South,27-inch Monitor,Displays,24,24000,576000,Orchid Interiors
SO-10290,2025-05-11,South,Office Chair,Furniture,3,12500,37500,Totally Fine Corp
SO-10291,2025-05-11,North,Webcam,Audio and Video,16,4200,67200,Coral Retail
SO-10292,2025-05-12,East,27-inch Monitor,Displays,21,24000,504000,Jasmine Pharma
SO-10293,2025-05-12,East,Conference Speaker,Audio and Video,20,18000,360000,Cedar Finserv
SO-10294,2025-05-12,East,Headset,Audio and Video,12,6500,78000,Bluepeak Analytics
SO-10295,2025-05-12,West,Wireless Mouse,Accessories,14,1200,16800,Banyan Health
SO-10296,2025-05-13,South,27-inch Monitor,Displays,11,24000,264000,Vista Telecom
SO-10297,2025-05-13,West,Wireless Mouse,Accessories,2,1200,2400,Coral Retail
SO-10298,2025-05-13,West,Headset,Audio and Video,3,6500,19500,Ganga Textiles
SO-10299,2025-05-13,South,27-inch Monitor,Displays,13,24000,312000,Quartz Mining
SO-10300,2025-05-15,West,Office Chair,Furniture,21,12500,262500,Falcon Freight
SO-10301,2025-05-16,North,24-inch Monitor,Displays,21,14500,304500,Umber Paints
SO-10302,2025-05-16,West,27-inch Monitor,Displays,5,24000,120000,Banyan Health
SO-10303,2025-05-17,East,Standing Desk,Furniture,9,32000,288000,Harbour Hotels
SO-10304,2025-05-17,North,27-inch Monitor,Displays,22,24000,528000,Nimbus Cloud
SO-10305,2025-05-18,North,Conference Speaker,Audio and Video,8,18000,144000,Peacock Apparel
SO-10306,2025-05-18,West,Webcam,Audio and Video,5,4200,21000,Evergreen Foods
SO-10307,2025-05-19,East,27-inch Monitor,Displays,24,24000,576000,Quartz Mining
SO-10308,2025-05-19,South,Wireless Mouse,Accessories,8,1200,9600,Cedar Finserv
SO-10309,2025-05-20,West,Office Chair,Furniture,8,12500,100000,Jasmine Pharma
SO-10310,2025-05-20,South,Headset,Audio and Video,21,6500,136500,Lotus Infra
SO-10311,2025-05-20,South,Headset,Audio and Video,3,6500,19500,Anvil Logistics
SO-10312,2025-05-20,South,27-inch Monitor,Displays,12,24000,288000,Lotus Infra
SO-10313,2025-05-21,West,Wireless Mouse,Accessories,6,1200,7200,Umber Paints
SO-10314,2025-05-22,East,Conference Speaker,Audio and Video,18,18000,324000,Indigo Learning
